league_name,league_id,franchise_name,franchise_id
#SFB12 Denver,851201790119612416,ScottFishBowl,819245060922130432
"#SFB12 Titan, Marvel",850083878629650432,ScottFishBowl,819245060922130432
#SFB12 New New York,850083448797364224,ScottFishBowl,819245060922130432
#SFB12 Bikini Bottom,850082872147718144,ScottFishBowl,819245060922130432
#SFB12 Eagan,850082477857976320,Iain Fish,819245060922130432
#SFB12 Los Angeles - The Pond,850055201854459904,ScottFishBowl,819245060922130432
#SFB12 Los Angeles - Coliseum,850054059019837440,ScottFishBowl,819245060922130432
#SFB12 Los Angeles - SoFi Stadium,850052814938935296,ScottFishBowl,819245060922130432
#SFB12 Boston Live 2,850050813224157184,ScottFishBowl,819245060922130432
#SFB12 Vancouver Live 2,850049372166135808,ScottFishBowl,819245060922130432
#SFB12 Vancouver Live 1,850048770828787712,ScottFishBowl,819245060922130432
#SFB12 Boston Live 1,850046604609191936,ScottFishBowl,819245060922130432
#SFB12 Orlando Live Magic Kingdom,850046076336615424,ScottFishBowl,819245060922130432
#SFB12 Orlando Live 1 Epcot Division,850045295726280704,ScottFishBowl,819245060922130432
#SFB12 Canton Live 3,849436298744807424,ScottFishBowl,819245060922130432
#SFB12 Canton Live 2,849435946746220544,ScottFishBowl,819245060922130432
#SFB12 Canton Live 1,849435240047968256,ScottFishBowl,819245060922130432
#SFB12 Seattle Live,848677432117547008,ScottFishBowl,819245060922130432
"#SFB12 Buffalo Live, Nickel City Division",848670866949644288,ScottFishBowl,819245060922130432
"#SFB12 Buffalo Live, Queen City Division",848670056069066752,ScottFishBowl,819245060922130432
#SFB12 Minneapolis Live 4,848661473927499776,ScottFishBowl,819245060922130432
#SFB12 Minneapolis Live 3,848661089368530944,ScottFishBowl,819245060922130432
#SFB12 Minneapolis Live 2,848659898794348544,ScottFishBowl,819245060922130432
#SFB12 San Francisco Live 2,848322512864518144,ScottFishBowl,819245060922130432
#SFB12 San Francisco Live 1,848321834251300864,ScottFishBowl,819245060922130432
